gene,Description
ONECUT2,one cut homeobox 2
ZNF25,zinc finger protein 25
FMO2,flavin containing dimethylaniline monoxygenase 2
LOC105372802,uncharacterized LOC105372802
PPAT,phosphoribosyl pyrophosphate amidotransferase
ADAMTS14,ADAM metallopeptidase with thrombospondin type 1 motif 14
LETR1,lymphatic endothelial transcriptional regulator lncRNA 1
LOC105378948,uncharacterized LOC105378948
ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
DNAAF9,dynein axonemal assembly factor 9
GPR17,G protein-coupled receptor 17
LOC101927190,uncharacterized LOC101927190
PRR19,proline rich 19
BCL6B,BCL6B transcription repressor
ESRP1,epithelial splicing regulatory protein 1
TRHDE,thyrotropin releasing hormone degrading enzyme
PGM2L1,phosphoglucomutase 2 like 1
LOC107986396,uncharacterized LOC107986396
KCNA4,potassium voltage-gated channel subfamily A member 4
ADAMTSL3,ADAMTS like 3
ACE,angiotensin I converting enzyme
RTL3,retrotransposon Gag like 3
HKDC1,hexokinase domain containing 1
ID3,inhibitor of DNA binding 3
HTR3C,5-hydroxytryptamine receptor 3C
SLC25A10,solute carrier family 25 member 10
TFAP2A-AS2,TFAP2A antisense RNA 2
LRIG3,leucine rich repeats and immunoglobulin like domains 3
PPM1F-AS1,PPM1F antisense RNA 1
LOC101929532,uncharacterized LOC101929532
TMPRSS11E,transmembrane serine protease 11E
BEAN1,brain expressed associated with NEDD4 1
TSPAN18,tetraspanin 18
PODXL,podocalyxin like
LAMC3,laminin subunit gamma 3
ITPRID1,ITPR interacting domain containing 1
SYT2,synaptotagmin 2
LOC101927010,uncharacterized LOC101927010
RUNX1,RUNX family transcription factor 1
TSPAN7,tetraspanin 7
PKP3,plakophilin 3
CREB3L4,cAMP responsive element binding protein 3 like 4
FLI1,"Fli-1 proto-oncogene, ETS transcription factor"
CD160,CD160 molecule
DGCR5,DiGeorge syndrome critical region gene 5
LINC01703,long intergenic non-protein coding RNA 1703
LOC112268027,uncharacterized LOC112268027
DENND2A,DENN domain containing 2A
KLF13,KLF transcription factor 13
PHLDB2,pleckstrin homology like domain family B member 2
KLRG2,killer cell lectin like receptor G2
ILDR1,immunoglobulin like domain containing receptor 1
PRSS16,serine protease 16
PSIP1,PC4 and SRSF1 interacting protein 1
TOM1L1,target of myb1 like 1 membrane trafficking protein
NALF2,NALCN channel auxiliary factor 2
HOOK1,hook microtubule tethering protein 1
EEF1A2,eukaryotic translation elongation factor 1 alpha 2
CORO2B,coronin 2B
IGFL2,IGF like family member 2
ANXA8L1,annexin A8 like 1
ARRB1,arrestin beta 1
UGT2B15,UDP glucuronosyltransferase family 2 member B15
BCO1,beta-carotene oxygenase 1
RRAS,RAS related
CHPF,chondroitin polymerizing factor
RAB19,"RAB19, member RAS oncogene family"
CCDC120,coiled-coil domain containing 120
PRICKLE2-AS1,PRICKLE2 antisense RNA 1
MIR6717,microRNA 6717
ILF2,interleukin enhancer binding factor 2
SNAP47,synaptosome associated protein 47
AGTR1,angiotensin II receptor type 1
GAS6,growth arrest specific 6
PKHD1,PKHD1 ciliary IPT domain containing fibrocystin/polyductin
SLC39A7,solute carrier family 39 member 7
TNR,tenascin R
PTGFRN,prostaglandin F2 receptor inhibitor
LOC100129697,uncharacterized LOC100129697
SGCB,sarcoglycan beta
INKA1,inka box actin regulator 1
CKAP4,cytoskeleton associated protein 4
SRRM3,serine/arginine repetitive matrix 3
CCSER1,coiled-coil serine rich protein 1
MLC1,modulator of VRAC current 1
TGFBR3,transforming growth factor beta receptor 3
ARSL,arylsulfatase L
ITGA1,integrin subunit alpha 1
MFNG,MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
GPRIN1,G protein regulated inducer of neurite outgrowth 1
LOC105372256,uncharacterized LOC105372256
LOC105376314,uncharacterized LOC105376314
GPR4,G protein-coupled receptor 4
AKT3,AKT serine/threonine kinase 3
KIR2DL3,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3"
LOC105369194,uncharacterized LOC105369194
ZNF774,zinc finger protein 774
F12,coagulation factor XII
ARHGAP29,Rho GTPase activating protein 29
CLDN3,claudin 3
LRRN3,leucine rich repeat neuronal 3
UNC45B,unc-45 myosin chaperone B
LMCD1,LIM and cysteine rich domains 1
GYPC,glycophorin C (Gerbich blood group)
SRL,sarcalumenin
LILRA5,leukocyte immunoglobulin like receptor A5
LOC105372496,
REEP1,receptor accessory protein 1
MYO16-AS1,MYO16 antisense RNA 1
LINC00670,long intergenic non-protein coding RNA 670
LOC105371874,uncharacterized LOC105371874
TDRKH,tudor and KH domain containing
LINC00622,long intergenic non-protein coding RNA 622
CNRIP1,cannabinoid receptor interacting protein 1
LOC105370689,uncharacterized LOC105370689
LINC01169,long intergenic non-protein coding RNA 1169
LOC101929343,uncharacterized LOC101929343
HECW2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
C8orf88,chromosome 8 open reading frame 88
GALNT14,polypeptide N-acetylgalactosaminyltransferase 14
MEIS1-AS2,MEIS1 antisense RNA 2
RUNDC3A-AS1,RUNDC3A antisense RNA 1
ABCB9,ATP binding cassette subfamily B member 9
CNGB1,cyclic nucleotide gated channel subunit beta 1
DKK2,dickkopf WNT signaling pathway inhibitor 2
PRDX4,peroxiredoxin 4
IRF1-AS1,IRF1 antisense RNA 1
MAGI2-AS3,MAGI2 antisense RNA 3
COL9A2,collagen type IX alpha 2 chain
KLRD1,killer cell lectin like receptor D1
SHANK3,SH3 and multiple ankyrin repeat domains 3
ZBED2,zinc finger BED-type containing 2
DNAJC18,DnaJ heat shock protein family (Hsp40) member C18
FEZ1,fasciculation and elongation protein zeta 1
SSR4,signal sequence receptor subunit 4
DAP,death associated protein
GRID2IP,Grid2 interacting protein
TBX21,T-box transcription factor 21
SPARCL1,SPARC like 1
SORBS3,sorbin and SH3 domain containing 3
HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
RFLNB,refilin B
LOC101927069,uncharacterized LOC101927069
LRRC20,leucine rich repeat containing 20
CPNE4,copine 4
C1QTNF2,C1q and TNF related 2
LOC105379426,putative ankyrin repeat domain-containing protein 20A2
TMSB15A,thymosin beta 15A
INPP5A,inositol polyphosphate-5-phosphatase A
LOC105373265,uncharacterized LOC105373265
ADGRE1,adhesion G protein-coupled receptor E1
RADX,"RPA1 related single stranded DNA binding protein, X-linked"
EHF,ETS homologous factor
RNF38,ring finger protein 38
SRPX,sushi repeat containing protein X-linked
SLC15A1,solute carrier family 15 member 1
MMP3,matrix metallopeptidase 3
ZNF366,zinc finger protein 366
PPP1R14A,protein phosphatase 1 regulatory inhibitor subunit 14A
DBNDD1,dysbindin domain containing 1
MACC1,MET transcriptional regulator MACC1
ICA1,islet cell autoantigen 1
APBB2,amyloid beta precursor protein binding family B member 2
TGFBR2,transforming growth factor beta receptor 2
TINCR,TINCR ubiquitin domain containing
DLX3,distal-less homeobox 3
LSR,lipolysis stimulated lipoprotein receptor
CELSR3,cadherin EGF LAG seven-pass G-type receptor 3
DPP10,dipeptidyl peptidase like 10
TMED3,transmembrane p24 trafficking protein 3
CD34,CD34 molecule
POLR2D,RNA polymerase II subunit D
UBE2T,ubiquitin conjugating enzyme E2 T
ANKRD1,ankyrin repeat domain 1
GPX2,glutathione peroxidase 2
ARHGAP31,Rho GTPase activating protein 31
IL18R1,interleukin 18 receptor 1
MSTO2P,"misato family member 2, pseudogene"
NIPSNAP1,nipsnap homolog 1
TNFRSF21,TNF receptor superfamily member 21
SOX9,SRY-box transcription factor 9
RAB26,"RAB26, member RAS oncogene family"
ANKRD40,ankyrin repeat domain 40
ACTN2,actinin alpha 2
LOC105375350,uncharacterized LOC105375350
MAGED1,MAGE family member D1
TNFSF10,TNF superfamily member 10
NPNT,nephronectin
ALG1,ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase
ADAM8,ADAM metallopeptidase domain 8
NECTIN1,nectin cell adhesion molecule 1
DPP6,dipeptidyl peptidase like 6
LINC00607,long intergenic non-protein coding RNA 607
LDAF1,lipid droplet assembly factor 1
LOC100128770,uncharacterized LOC100128770
ESAM,endothelial cell adhesion molecule
CXCL14,C-X-C motif chemokine ligand 14
MGAT3,"beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase"
VIM,vimentin
SPRED3,sprouty related EVH1 domain containing 3
STYK1,serine/threonine/tyrosine kinase 1
RIPOR1,RHO family interacting cell polarization regulator 1
EFNA3,ephrin A3
ZNF207,zinc finger protein 207
BCL9,BCL9 transcription coactivator
CAT,catalase
FADS3,fatty acid desaturase 3
LOC102724122,uncharacterized LOC102724122
CD1A,CD1a molecule
OTUD7A,OTU deubiquitinase 7A
RECQL4,RecQ like helicase 4
VWF,von Willebrand factor
LOC107984992,uncharacterized LOC107984992
IQSEC3-AS1,IQSEC3 antisense RNA 1
RADIL,Rap associating with DIL domain
SOWAHB,sosondowah ankyrin repeat domain family member B
GIPC3,GIPC PDZ domain containing family member 3
PSMG3,proteasome assembly chaperone 3
KDM5B,lysine demethylase 5B
PPFIBP1,PPFIA binding protein 1
LOC105378521,uncharacterized LOC105378521
SLC52A3,solute carrier family 52 member 3
SLC44A5,solute carrier family 44 member 5
SPAG4,sperm associated antigen 4
CASQ2,calsequestrin 2
COMP,cartilage oligomeric matrix protein
DHH,desert hedgehog signaling molecule
ADD1,adducin 1
PDIA6,protein disulfide isomerase family A member 6
ART1,ADP-ribosyltransferase 1
ABI3BP,ABI family member 3 binding protein
AGR2,"anterior gradient 2, protein disulphide isomerase family member"
MMP13,matrix metallopeptidase 13
MMP15,matrix metallopeptidase 15
CD244,CD244 molecule
TOX2,TOX high mobility group box family member 2
EFCC1,EF-hand and coiled-coil domain containing 1
SLC28A3,solute carrier family 28 member 3
ITM2B,integral membrane protein 2B
CLIC4,chloride intracellular channel 4
PTGES,prostaglandin E synthase
SRGAP2C,SLIT-ROBO Rho GTPase activating protein 2C
LOC105376039,uncharacterized LOC105376039
MIR3945HG,MIR3945 host gene
SLCO1A2,solute carrier organic anion transporter family member 1A2
ICAM2,intercellular adhesion molecule 2
RSPO1,R-spondin 1
LOC105371240,uncharacterized LOC105371240
FRK,fyn related Src family tyrosine kinase
GJA4,gap junction protein alpha 4
GTF2IP7,general transcription factor IIi pseudogene 7
TMOD1,tropomodulin 1
GFUS,GDP-L-fucose synthase
FOXO6,forkhead box O6
LINC01366,long intergenic non-protein coding RNA 1366
WFDC3,WAP four-disulfide core domain 3
LTBP4,latent transforming growth factor beta binding protein 4
TAMALIN,trafficking regulator and scaffold protein tamalin
CDS2,CDP-diacylglycerol synthase 2
PSAT1,phosphoserine aminotransferase 1
GSDMB,gasdermin B
RHPN1,rhophilin Rho GTPase binding protein 1
LOC107987223,uncharacterized LOC107987223
LINC01123,long intergenic non-protein coding RNA 1123
ENO1,enolase 1
FGD3,"FYVE, RhoGEF and PH domain containing 3"
MPDZ,multiple PDZ domain crumbs cell polarity complex component
CKMT1A,"creatine kinase, mitochondrial 1A"
CST2,cystatin SA
NTN4,netrin 4
PGAP6,post-GPI attachment to proteins 6
TCF21,transcription factor 21
SCRN1,secernin 1
P3H4,prolyl 3-hydroxylase family member 4 (inactive)
PPP1R14D,protein phosphatase 1 regulatory inhibitor subunit 14D
CCT3,chaperonin containing TCP1 subunit 3
TAMALIN-AS1,TAMALIN antisense RNA 1
MELTF,melanotransferrin
PITPNM2,phosphatidylinositol transfer protein membrane associated 2
TRPV2,transient receptor potential cation channel subfamily V member 2
SOX17,SRY-box transcription factor 17
RMI2,RecQ mediated genome instability 2
SIK2,salt inducible kinase 2
LOC102723566,uncharacterized LOC102723566
RNF43,ring finger protein 43
GPR89B,G protein-coupled receptor 89B
EIF4E3,eukaryotic translation initiation factor 4E family member 3
GNLY,granulysin
ADGRG3,adhesion G protein-coupled receptor G3
TMEM92,transmembrane protein 92
PLPP3,phospholipid phosphatase 3
LINC00842,long intergenic non-protein coding RNA 842
MED12L,mediator complex subunit 12L
ID4,inhibitor of DNA binding 4
CRIM1,cysteine rich transmembrane BMP regulator 1
SATB2,SATB homeobox 2
KHDRBS2,"KH RNA binding domain containing, signal transduction associated 2"
SLC25A39,solute carrier family 25 member 39
EFNA5,ephrin A5
MIR4647,microRNA 4647
KIR2DL1,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1"
GTF2IP20,general transcription factor IIi pseudogene 20
LOC105373511,uncharacterized LOC105373511
LOC105377587,uncharacterized LOC105377587
NME1,NME/NM23 nucleoside diphosphate kinase 1
SNRK-AS1,SNRK antisense RNA 1
EPB41L2,erythrocyte membrane protein band 4.1 like 2
GGCT,gamma-glutamylcyclotransferase
CKMT1B,"creatine kinase, mitochondrial 1B"
LMOD3,leiomodin 3
WFDC2,WAP four-disulfide core domain 2
EOGT,EGF domain specific O-linked N-acetylglucosamine transferase
MFSD6L,major facilitator superfamily domain containing 6 like
HACD4,3-hydroxyacyl-CoA dehydratase 4
SEPTIN4,septin 4
ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group)
SNX1,sorting nexin 1
GMPPA,GDP-mannose pyrophosphorylase A
PTRH2,peptidyl-tRNA hydrolase 2
C6orf141,chromosome 6 open reading frame 141
GALNT13,polypeptide N-acetylgalactosaminyltransferase 13
GPR160,G protein-coupled receptor 160
COL1A1,collagen type I alpha 1 chain
CDO1,cysteine dioxygenase type 1
ERO1A,endoplasmic reticulum oxidoreductase 1 alpha
GPR89A,G protein-coupled receptor 89A
PTGDR,prostaglandin D2 receptor
SLC39A8,solute carrier family 39 member 8
MASP1,MBL associated serine protease 1
BSG-AS1,BSG antisense RNA 1
ALG8,"ALG8 alpha-1,3-glucosyltransferase"
LINC01537,long intergenic non-protein coding RNA 1537
TESC,tescalcin
CLDN9,claudin 9
MYOC,myocilin
LRCOL1,leucine rich colipase like 1
ID2,inhibitor of DNA binding 2
PLEKHA6,pleckstrin homology domain containing A6
SDC1,syndecan 1
MND1,meiotic nuclear divisions 1
KIF17,kinesin family member 17
LOC101929130,uncharacterized LOC101929130
STRA6,signaling receptor and transporter of retinol STRA6
SLC29A4,solute carrier family 29 member 4
DGCR9,replaced by ID 26220
FGR,"FGR proto-oncogene, Src family tyrosine kinase"
NOP58,NOP58 ribonucleoprotein
HEMGN,hemogen
FXYD1,FXYD domain containing ion transport regulator 1
LINC02331,long intergenic non-protein coding RNA 2331
KLHDC8A,kelch domain containing 8A
NKG7,natural killer cell granule protein 7
TRIM27,tripartite motif containing 27
DIXDC1,DIX domain containing 1
ERBB3,erb-b2 receptor tyrosine kinase 3
ADAMTS9-AS1,ADAMTS9 antisense RNA 1
PAX6,paired box 6
KIF12,kinesin family member 12
C1orf53,chromosome 1 open reading frame 53
PCYT1B,"phosphate cytidylyltransferase 1B, choline"
GPR179,G protein-coupled receptor 179
KCNK1,potassium two pore domain channel subfamily K member 1
DPEP2,dipeptidase 2
XYLB,xylulokinase
JPH2,junctophilin 2
LOC84214,Putative uncharacterized protein FLJ92257
ZHX3,zinc fingers and homeoboxes 3
GHR,growth hormone receptor
GAD1,glutamate decarboxylase 1
MMP7,matrix metallopeptidase 7
TTC28,tetratricopeptide repeat domain 28
LINC00857,long intergenic non-protein coding RNA 857
LOC107986465,uncharacterized LOC107986465
AOC3,amine oxidase copper containing 3
ACY3,aminoacylase 3
SNORD153,"small nucleolar RNA, C/D box 153"
LOC102723382,ankyrin repeat domain-containing protein 20B-like
MEF2A,myocyte enhancer factor 2A
LRRIQ4,leucine rich repeats and IQ motif containing 4
ANOS1,anosmin 1
EPHX3,epoxide hydrolase 3
SGK2,serum/glucocorticoid regulated kinase 2
CPT1A,carnitine palmitoyltransferase 1A
LOC105379516,uncharacterized LOC105379516
TRAP1,TNF receptor associated protein 1
DDX11-AS1,DDX11 antisense RNA 1
STX12,syntaxin 12
BMP8A,bone morphogenetic protein 8a
PRKCH,protein kinase C eta
FGF10-AS1,FGF10 antisense RNA 1
LINC01290,long intergenic non-protein coding RNA 1290
FBXL19,F-box and leucine rich repeat protein 19
B4GALT3,"beta-1,4-galactosyltransferase 3"
LOC102724081,uncharacterized LOC102724081
TNS4,tensin 4
ADARB1,adenosine deaminase RNA specific B1
PDE5A,phosphodiesterase 5A
TMTC1,transmembrane O-mannosyltransferase targeting cadherins 1
MUSTN1,"musculoskeletal, embryonic nuclear protein 1"
FAM86C1P,"family with sequence similarity 86 member C1, pseudogene"
CORO1C,coronin 1C
PKMYT1,"protein kinase, membrane associated tyrosine/threonine 1"
PTK7,protein tyrosine kinase 7 (inactive)
BMPR2,bone morphogenetic protein receptor type 2
CILP2,cartilage intermediate layer protein 2
CFP,complement factor properdin
TMEM88,transmembrane protein 88
WWTR1,WW domain containing transcription regulator 1
FGF10,fibroblast growth factor 10
TRIM67,tripartite motif containing 67
RALGPS2,Ral GEF with PH domain and SH3 binding motif 2
RFWD3,ring finger and WD repeat domain 3
BDH1,3-hydroxybutyrate dehydrogenase 1
LOC101927840,uncharacterized LOC101927840
EGFL7,EGF like domain multiple 7
SEMA4B,semaphorin 4B
BTNL8,butyrophilin like 8
GRIK4,glutamate ionotropic receptor kainate type subunit 4
WDR46,WD repeat domain 46
SRGAP2B,SLIT-ROBO Rho GTPase activating protein 2B
NET1,neuroepithelial cell transforming 1
TENT5B,terminal nucleotidyltransferase 5B
GPR37,G protein-coupled receptor 37
PDGFC,platelet derived growth factor C
UPK3A,uroplakin 3A
NEXN,nexilin F-actin binding protein
ELF3-AS1,ELF3 antisense RNA 1
KLC1,kinesin light chain 1
DECR2,"2,4-dienoyl-CoA reductase 2"
LOC105375168,uncharacterized LOC105375168
TCEAL2,transcription elongation factor A like 2
SUSD4,sushi domain containing 4
LOC105375760,uncharacterized LOC105375760
JAM3,junctional adhesion molecule 3
RAMP1,receptor activity modifying protein 1
RASL12,RAS like family 12
LBX2-AS1,LBX2 antisense RNA 1
GNL3,G protein nucleolar 3
KRT10-AS1,KRT10 antisense RNA 1
CARD14,caspase recruitment domain family member 14
DLG3,discs large MAGUK scaffold protein 3
LOC102723635,uncharacterized LOC102723635
